unique_id/0,unique_id/1,asin,product_name,product_type/0,product_type/1,helpful,rating,title,date,reviewer,reviewer_location,review_text
0306813769:reading_shouldn't_have_to_be_a_chore:curtis_g,13989,0306813769,Iron John: A Book About Men: Books: Robert Bly,books,books,4 of 19,1.0,Reading shouldn't have to be a chore,"May 2, 2006",Curtis G,"OC, CA, USA","Once upon a time I was given a vanity-published book to review. It was an illogical mess, full of breathtaking non-sequiturs. While reading ""Iron John,"" I couldn't help thinking of it. The vanity book, however, was at least entertaining.

John Eldredge refers to ""Iron John"" liberally in his book ""Wild at Heart,"" and because I considered that a ringing endorsement, I purchased a copy. I can't tell you what a chore it has been to finally finish reading it. The hardest part was not flinging it away in disgust about 17 times.

It's one thing to write a rambling tome full of obscure references; it's another to publish it. That people can slog through it and call it ""profound"" and ""important"" is baffling; what's even more mind-boggling is that people claim that this book ""spoke"" to them. I think it's a case of ""I'd better say I understand it, or people will think I'm not erudite."" Well, let me be erudite about it: ""Iron John"" is a big, steaming pile of New Age crapola. Don't say I didn't warn you"
0060823879:dreadfully_boring:prairie_pal,14729,0060823879,"A Crack in the Edge of the World CD: America and the Great California Earthquake of 1906: Books: Simon Winchester,Winchester Simon",books,books,4 of 5,2.0,Dreadfully Boring,"April 28, 2006",Prairie Pal,"Winnipeg, Canada","How can a best-selling author like Simon Winchester take an event as exciting as the San Francisco Earthquake of 1906 and turn it into a tedious snooze-fest? One answer: write as if you had just discovered an adjective mine and were free to throw in extra descripitive terms on every line until listeners scream for an end to florid phrases. Another: strive to break the record for most clich?s in a single paragraph. Finally: write about events in 1906 as if no one but Simon Winchester had ever before thought about their consequences -- thus, everything in this tedious narrative becomes about Simon. Simon and the raccoons; Simon on the failing American economy; Simon attempting to reproduce American accents. This is a CD set for avoiding"
1590072170:much_to_much_introspection:marvin_a._zimmer,19635,1590072170,"American Pastoral: Books: Philip Roth,Ron Silver",books,books,1 of 7,2.0,much to much introspection,"August 27, 2006",Marvin A. Zimmer,"murray, ut United States","I agree with the reviewer who said this work is boring. It seems Roth is trying to glorify Philip Roth and not the characters. He goes on and on describing the overwhelming feelings zuckermann has for ""the swede"", without letting us know who the Swede really is. Roth should let the characters tell the story or try to use less erudition in his narration.
It gets to the point where the reader loses interest in finishing the book. I loved the plot against american because it was more character based than philosophizing about about the historical context of the times"
1560257172:perhaps_the_worst_book_about_bono_or_u2_ever_written:aah412,19757,1560257172,Bono: In the Name of Love: Books: Mick Wall,books,books,17 of 17,1.0,Perhaps the worst book about Bono or U2 ever written,"September 7, 2005",aah412,Oklahoma,"I echo the comments of the previous reviewers.  Don't waste your money.  Not only does this book present a tedious repetition of facts and stories already well known to even a casual U2 fan, it can't even get those facts right!  The book states that Bono's father dropped the family off at a Catholic Church before driving himself to another church.  This contradicts the correct statement on the preceding page that Bob Hewson was Catholic, while Bono, his mother and brother were Protestant.  In the same paragraph the Dublin neighborhood of ""Glasnevin"" is misspelled ""Asnevin"".  The hearing aid shop from which Bono took his name is misspelled, and perhaps most galling of all, the author can't even get the full name of Larry Mullen, Jr. right!  And this is just chapter one!

I have to agree that this book was simply thrown together to make a quick buck and therefore not worth purchasing.  I would suggest skipping this one and purchasing Bono: In Conversation With Michka Assayas, which includes a pretty good account of Bono's life from the man himself."
"1400054192:revenge!:mark_shook_""vmorrisey""",19877,1400054192,How to Talk to a Liberal (If You Must): The World According to Ann Coulter: Books: Ann Coulter,books,books,10 of 20,1.0,Revenge!,"September 6, 2006","Mark Shook ""vmorrisey""","San Diego, CA United States","Let me see how many books can I write to preach to the choir about the same thing. She must of got dumped by a handful of Liberal boyfriends (what intellegent person would want her) and now she's trying to get back at 'em. Can't wait for the next ""I hate liberals so much and here are my reasons why"" book. She should join Fox she would fit right in"
1400054192:supports_the_partisan_divide_that_is_rotting_this_country_from_the_inside.:c._holcomb,19879,1400054192,How to Talk to a Liberal (If You Must): The World According to Ann Coulter: Books: Ann Coulter,books,books,7 of 13,1.0,Supports the partisan divide that is rotting this country from the inside.,"August 28, 2006",C. Holcomb,"Raleigh, NC United States","Anyone with intelligence can see that Ann Coulter is not attempting to make any meaningful or objective analysis of politics.  She is using inflammatory marketing to stir up the emotions of the most die-hard, flag-waving conservatives.  Until this attention-seeking labeling of other Americans as 'good' or 'bad' stops, there will never be true understanding of the complexties of American politics or foreign policy by the general public.  I don't agree with Bush's war and I didnt vote for him.  But he's not a 'bad person'; he did not invade Iraq because he is 'evil' or 'stupid'.  I can appreciate both sides of an argument; I can avoid generic categorizations.  I would never watch any news, liberal or conservative, that had a clear political bias.  Why can't Ann Coulter arrive at this same level of common sense?  Well, she wouldnt sell as many books; she wouldnt be on TV.  It has to be ""Liberals Hate America"" or ""The Conservative Nazi Agenda"".  We have the duty as thinking Americans, in the most advanced free country in the world, in these modern times of massive amounts of free information, to STOP PAYING ATTENTION TO THIS GARBAGE.  Get the facts and stop relying on a figurehead to spoon feed you your opinions"
"0060735651:where_are_the_flags?_and_sound_effects?:jack,_but_my_students_call_me_emoth_(emo+goth=emoth)",20657,0060735651,Let Freedom Ring: Winning the War of Liberty over Liberalism: Books: Sean Hannity,books,books,9 of 17,1.0,Where are the flags? And sound effects?,"July 27, 2006","Jack, but my students call me emoth (emo+goth=emoth)",emo+goth=emoth,"I remember hearing about this book by the great patriot Sean Hannity sometime in 2001, then it was a mere idea. From that time on, until August 20th 2002, I waited for what I thought would be the greatest book of all time. I remember seeing the cover art and hearing about the title: ""Let Freedom Ring"" with not just a picture of Sean Hannity on the cover, patriot that he is, but also a flag. I loved it, couldn't be more happy.

Well, the day of the book's release, I took a day off work (i've never missed a day of work before in my life), and rushed to get this book. It looked better than I ever imagined.

With the flag on the cover and the title of ""Let Freedom Ring,"" I thought, finally, technology has caught up to our patriotism. I expected a book filled with flags, flags with sound effects. Maybe some firework sound effects.

Boy was I wrong. I opened the book only to the colors black and white. No red. No blue. No stars and stripes. I quickly turned the pages, looking, searching for flags. I found none, no sound effects either, no fireworks.

At that point, I went into a 4 year long depression. I nearly committed suicide at several points. It's only now that I can bring myself to review this man's book, patriot that he is.

I say this so you know what you're getting yourself into. There are no flags, no stars and stripes, no fireworks, no sound effects.

I have since recovered, but only because of old stars and stripes. I went back to teaching last year, not fully recovered, and my colleagues, knowing how much I love America and the STARS AND STRIPES, suggested I have my class do a research project: find the most patriotic book ever made.

The methodoloy was simple: A book made out of flags with flag pictures would score high, a book that was not made out of a flag or flags and had no pictures of flags would score the lowest.

We found some very good books and they did cheer me up. The one that was the most patriotic by far was a book called ""President Jesus: How Jesus Wrote the Constitution, Freed the Slaves, and Won World War II."" Its published by a small church in Texas. I was very proud of my students for finding it. It has brought countless joy to my life. Along with the book, made entirely out of a flag, with flag pictures, and written in blue and red ink, you get a giant flag. I'm not sure of the dimensions, but they had to haul it to my house in a moving truck. I've draped it over my house and it covers it completely. People even have to crawl under the flag to enter the house.

Now I often go outside and just gaze at old stars and stripes for hours at a time, smiling."
0345467078:too_much_filler:bonner_'62,20951,0345467078,Rage: An Alex Delaware Novel (Alex Delaware Novels (Paperback)): Books: Jonathan Kellerman,books,books,7 of 8,2.0,Too Much Filler,"April 22, 2006",Bonner '62,Virginia,"All throughtout this book Alex Delaware and his police friend Milo never stop ruminating over every new fact they uncover.  They have endless discussions on how a new tidbit might fit into the overall picture.  The reader longs for the pair to actually do something.  In the end the author walks away without even tying up all the main strings.  That is really dirty pool after making the reader wade through all the yakking.  I read and enjoyed several of the early Alex Delaware books and then quit looking for new ones, now I know why"
"0743555635:long_on_verbiage,_short_on_plot,_and_ultimately_pointless:d._r._jeanclerc_""reader,_listener_And _obsessive_observer""",22660,0743555635,"The Ruins: Books: Scott Smith,Patrick Wilson",books,books,,2.0,"Long on Verbiage, Short on Plot, and Ultimately Pointless","November 16, 2006","D. R. Jeanclerc ""Reader, Listener And  Obsessive Observer""","Brunswick, OH USA","The book jacket for ""The Ruins"" offers a can't-miss premise:  a group of post-grad American tourists at play in Mexico jump at the chance for a little adventure among Mayan ruins but find but then find themselves in unimaginable danger.  It's the stuff of great Summer thrillers ready to be taken to the beach.  But 319 pages later, the reader is left to wonder whether or not the publisher put the wrong book in the jacket.

Almost immediately, you'll notice that Smith's writing is as dense as the jungles that make the setting.  However, despite the endless stream of words, his descriptions are often threadbare.  Plus, there are no chapter breaks, which eventually pushes the pace until it feels like an assignment to continue.

Next, the characters themselves begin to fall flat.  There are only really two couples to keep track of, and yet it's difficult for the first third of the book to distinguish them.  There is little to keep you interested in what they're doing or why they might be doing it.  Smith's attempts at developing these four as characters come in fits and spurts.  This seems obviously haphazard and hurried - the author is jamming in backstory whenever needed to explain characters' actions as if he were patching leaks in a dam.  By the end of the book, the foursome seems to be as disinterested in each other as the reader is in them.

And for the readers who are hoping to discover something of interest in the setting such as Mayan mythology or archeological lore, forget it.  Aside from language barriers with the locals, there is no reason why this fantastical story couldn't have been set in the wilds of the Rocky Mountains, the Saharan desert, or anywhere else.  The danger posed has nothing to do with Mexico, archeology or mythology at all.

Ah yes, the danger posed.  Well, I can't say much at all because anyone could give away the entire book with one line of explanation - that's how thin the plot is.  The numerous other reviews that fault this as a short story masquerading as a novel are exactly right.  Suffice it to say that when you do realize what the danger is (and you'll realize it well before any of the well-educated characters do), it's a real eye-roller, as if to say ""I read this many pages for THIS?"".

By the time the story concludes, it's more irritating than suspenseful.  The characters take so long to blithely undertake any course of action at all that you'll start rooting against them.  Eventually scenes of gore start piling up in an obvious and lazy attempt to interject some action, but even aside from being misdirected, it's too little too late.

This book could have been an adventure, a supernatural thriller, a survival tale, or a horror screenplay.  It could have even taken the high road as an examination on people's reactions to situations of extreme stress:  some take the lead, even enjoying the challenge, while others whither into a shell of hopelessness.  But none of the possibilities ever come to fruition in this disappointing effort."
1596001836:too_graphic-too_long_to_get_somewhere:lizbeth,22784,1596001836,"Blue Smoke: Books: Nora Roberts,Joyce Bean",books,books,2 of 2,2.0,Too Graphic-Too Long to get somewhere,"August 20, 2006",LizBeth,,"This book was so different from the usual NR story.  The burn scenes were too graphic and the rape scene was too graphic.  If you want romance, skip this.  It also seemed to take forever to get the book set up"
"0839824491:great_premise,_terrible_execution:matthew_w._grieco",23091,0839824491,I Will Fear No Evil (Gregg Press Science Fiction Series): Books: Robert A. Heinlein,books,books,5 of 7,1.0,"Great premise, terrible execution","July 29, 2004",Matthew W. Grieco,New York City,"This book is offensive to at least one of the two genders, though it's hard to say which. It suggests that a man whose brain was transplanted into that of a sensual woman would become a wanton harlot, more or less. Whether that's more insulting to the male brain or the female body, I'm not sure, but the book portrays neither gender realistically.

I like Heinlein, and the first 100 or so pages of this book show a lot of potential, but after that the book descends into vapid sexual morass, and it's not even particularly good at being that.

The gender-swapping theme has been a common one in fiction and film in the last 30 years or so, but Heinlein joined the ranks of the many authors and directors who treated it as a chance to write pseudo-enlightened erotica instead of literature. More's the pity"
"0345362462:for_fanatics_only:the_sanity_inspector_""the_sanity_inspector""",23126,0345362462,Grumbles from the Grave: Books: Robert A. Heinlein,books,books,2 of 4,2.0,For fanatics only,"May 20, 2001","The Sanity Inspector ""the_sanity_inspector""",USA,"Why in the world would anyone publish a writer's bread and butter notes to his agent?  Besides the money, I mean.  There are a couple or three interesting fulminations against this publisher or that editor, whom Heinlein feels did him dirty.  But in the main this body of correspondence is of zero interest to any but the most complete worshipers of the sf master.  Just enjoy the stories, and nevermind the workaday business of how they got published"
0399152830:two_thumbs_down:kathie,23703,0399152830,Predator (Kay Scarpetta Mysteries): Books: Patricia Cornwell,books,books,,1.0,Two Thumbs Down,"November 20, 2006",Kathie,New York,"I thought it was me until I read several other reviews of Predator.  Ms. Cornwell can do so much better than this disjointed mess.  If she's going to continue the Scarpetta series, she needs to get back on track, creating characters that we care about.  I finished this book as quickly as possible just to get it behind me.  What a disappointment"
0399152830:please_do_not_read:joseph_r._swift,23712,0399152830,Predator (Kay Scarpetta Mysteries): Books: Patricia Cornwell,books,books,2 of 2,1.0,Please do NOT read,"October 21, 2006",Joseph R. Swift,,"I did not finish the book (I got about 70% of the way through before I realized I could not bear to read one more page).  Maybe the remaining part of the book would have been better, but I doubt it.  This is the first time I can ever remember not even having even the slightest interesting in finishing a book.  The characters were flat and plot went nowhere.  Please - there are million of books out there.  Spare yourself, and find something else to read. Anything."
"030726419X:avidreader:a.g.g._""avidreader""",24124,030726419X,The Emperor's Children: Books: Claire Messud,books,books,3 of 7,2.0,avidreader,"November 4, 2006","A.G.G. ""avidreader""",canada,"This is an overwritten and overhyped piece of fiction that will never pass for great literature. It is timely but it is not timeless.

Not one character comes alive even though they all talk endlessly. Not one scene is memorable. The true nature of the book -- soap opera-- is cloaked under its many pages.   Messud is a good writer who in this instance could not tell a good story, and she seems to have believed her publicity machine.  I can't believe that her husband, who a great literary critic, would not talk her out of publishing this.  Oh.  I forgot.  Money and fame trumps quality every time."
B000G5SBFU:not_good:barb,25963,B000G5SBFU,The Five People You Meet in Heaven: Books: Mitch Albom,books,books,1 of 3,1.0,Not good,"November 12, 2006",Barb,Michigan,"I thought the title was interesting so I bought this book.  Wow, what a disappointment.  This is sappy and poorly written.  How does Mitch Albom keep  getting on the best sellers list"
"055338080X:lost_credability,_quickly!!:chalupa",26778,055338080X,The Wisdom of Menopause: Books: Christiane Northrup,books,books,12 of 15,2.0,"Lost Credability, QUICKLY!!","July 10, 2005",Chalupa,Central California,"I admit, I haven't finished this book.  A friend recommended it to me as I have been having problems with insomnia.  I was interested in reading a book about women's health issues and this one sounded intriguing UNTIL she started in with her tarot cards, interest in astrology and angels.  Granted, I am not a firm believer in just ""the hard facts"" but its really hard to believe anything this woman writes after it is clear that common sense isn't alternative enough for her!"
"1401202012:battle_of_the_sexes-how_the_world_falls_apart_once_it's_entrusted_to_women:govagabndgrl_""dodovagabndr""",27236,1401202012,"Y: The Last Man Vol. 3: One Small Step: Books: Brian K. Vaughan,Pia Guerra,Jose Marzan,Brian V. Vaughan,Pia Guerra,Jose Marzan",books,books,0 of 6,1.0,BATTLE OF THE SEXES-how the world falls apart once it's entrusted to women,"September 27, 2006","govagabndgrl ""dodovagabndr""","pueblo, CO U.S.A.",You all like misogynist comics
1400030277:bitter_discontinuities:supertango,28377,1400030277,A Continent for the Taking: The Tragedy and Hope of Africa: Books: Howard W. French,books,books,2 of 8,2.0,bitter discontinuities,"March 5, 2005",supertango,paris,"despite early promise, marked by intriguing personal observations and evident self-reflection, this effort fails to deliver on the author's experience and acumen.  the book is a disparate set of chapters and lacks a unitary thread, apart from a bitter leavening of asides on the shortcomings of United States rhetoric and policies on Africa.  i had hoped for more, given the fine record in newsprint of this well-traveled journalist."
0771577206:not_impressed_with_this_one!:tara,30537,0771577206,"The Mother of All Pregnancy Books: An All-Canadian Guide to Conception, Birth and Everything in Between: Books: Ann Douglas",books,books,2 of 6,2.0,Not Impressed with this one!,"June 4, 2005",Tara,Canada,"I read some raving reviews about this book, but I admit, I was quite disappointed.  Factual, I'm sure, but it lacks details and tries to touch on too much without going into any depth.  Many other pregnancy books go into further detail"
"B000F5ZH3A:left_me_wanting_more...:heidi_""tomb_lily""",31695,B000F5ZH3A,Chill Factor : A Novel: Books: Sandra Brown,books,books,1 of 2,2.0,Left me wanting more...,"September 4, 2006","Heidi ""Tomb Lily""","Oshkosh, WI","The characters are uninteresting and 2-dimensional, the dialog hackneyed. I have no idea why it's on the New York Times Bestseller list. It was more of an obligation for me to finish this book than anything else. Don't waste your money"
0446606189:mailing_it_in:ryan_mcgovern,32464,0446606189,Cat And  Mouse (Alex Cross Novels): Books: James Patterson,books,books,7 of 7,2.0,Mailing it in,"October 25, 2005",RYAN MCGOVERN,"Boston, MA","I've been following the Alex Cross series from its beginning, and after reading Cat And  Mouse, I'm wondering if Patterson has taken these characters as far as they can go... Given the fact that there are 7 or 8 more Cross books written subsequently to this one, I can only hope that the series gets better.

My complains are similar to those of other reviewers:

1. I'm getting sick of the perfection of Alex Cross.  The man's a saintly father, saintly grandson, saintly lover, saintly charity worker, and saintly detective.  These traits hooked the reader and made Cross an intriguing character, but he's fast becoming too one-dimensional.

2. The Cross/Sampson relationship.  As if we weren't sick enough of this already.  Every few chapters, we're reminded of the man-crush Cross and Sampson have on each other.  Sampson is so perfect in Cross's eyes that it becomes tiresome to hear about it every time Sampson enters a scene.

3. The Cross/Christine Johnson relationship moves WAY too fast.  One moment Christine is still mourning the loss of her husband (who was viciously murdered 6 months prior in Jack And  Jill) and freaks out over an innocent dinner date, and the next she and Cross are madly in love.  No development whatsoever, no line from Point A to Point B.

4. I'm not sure Patterson could have written the dialogue between Cross and his children any more unrealistically.  Aren't these 7- and 9-year-old children?  He has more intelligent conversations with his kids than he does with Sampson or Kyle Craig.

5. The entire novel is a series of pseudo-climaxes which are ultimately resolved by plot twists that seemingly arrive from left field.  The Soneji resolution was anti-climactic at best, and the Mr. Smith conclusion was unfulfilling"
