unique_id/0,unique_id/1,asin,product_name,product_type/0,product_type/1,helpful,rating,title,date,reviewer,reviewer_location,review_text
"0385493282:another_great_franklin_biography!:monty_rainey_""juntosocietydotcom""",13681,0385493282,The First American: The Life and Times of Benjamin Franklin: Books: H.W. Brands,books,books,9 of 9,5.0,Another Great Franklin Biography!,"March 15, 2006","Monty Rainey ""juntosocietydotcom""","New Braunfels, TX United States","A quick search in Amazon books under the name ""Benjamin Franklin"" comes up with 2403 matches. Based upon that criteria, many people would say that everything that could be said or that needs to be said about Ben Franklin has been said.  Those people would be emphatically wrong, as has been proven by author and historian H.W. Brands in his work on Franklin, THE FIRST AMERICAN: THE LIFE AND TIMES OF BENJAMIN FRANKLIN. Brands expertly brings this pivotal figure in American history, back to life, once more, in this book which was a Pulitzer finalist in 2002.

This book is not only about Franklin, but its pages are dotted with an unbelievable cast of secondary characters. Brands brings the friends and acquaintances of Franklin to life, ranging from Cotton Mather to Sir Isaac Newton.  The book also spans the life of Franklin from his humble beginnings in Boston to world acclaim as one of the pivotal architects of American society and government. I believe this is the finest biography written on Franklin since Van Doren's Pulitzer Prize winner of some seventy years ago.

Of course, a book about Franklin would be incomplete without also being about the creation and formation of America, as the two are intricately attached. But Brands' work here is all inclusive, giving us not only the politics of Franklin, but his creative genius, business sense and so much more we've grown to appreciate about this Senior statesman in American history.

I have no idea how many biographies I have read about Benjamin Franklin, but this is definitely one of the best ever. H.W. Brands has a wonderful writing style with flowing narrative, meticulous detail and is one of the few Franklin biographers who successfully point the reader to Franklin's human side rather than keeping the attention on his mythical status.

Monty Rainey
www.juntosociety.co"
"0786808551:""if_alive,_please_help.___if_not,_wrong_number."":teensreadtoo.com_""jennifer_wardrip""",17208,0786808551,"The Arctic Incident (Artemis Fowl, Book 2): Books: Eoin Colfer",books,books,4 of 4,5.0,"""If Alive, Please Help.   If Not, Wrong Number.""","March 7, 2006","TeensReadToo.com ""Jennifer Wardrip""",Central Illinois,"I didn't discover the delight that is the Artemis Fowl series until a week ago, when I read ARTEMIS FOWL in one day.  So, of course, I had to pick up a copy of THE ARCTIC INCIDENT right away, to see if it was as good as the first.  It definitely is, and in my own humble opinion, I think I liked it even better than the first book.  There are points throughout the book where Artemis, now thirteen, shows a softer, more vulnerable side that I truly enjoyed.  Don't get me wrong, he's still an evil genius, but he's an evil genius with heart, and you can't help but love him.

Now that Angeline Fowl is out of her depression, thanks to some fairy magic from Captain Holly Short, she's sent Artemis back to Saint Bartelby's School for Young Gentlemen in Ireland.  Artemis is having quite a large amount of fun flumoxing the school's counselor, Dr. Po, when he gets an urgent message from Butler, his bodyguard/butler/majordomo--it seems that Artemis Fowl the First is alive in Russia, being held for ransom by the Russian Mafiya.

Young Artemis, of course, immediately sets out to devise a scheme to rescue his father.  It's been almost two years since Artemis Senior was last heard from, and his son is most eager to bring him home.  Before he can work out a devious scheme, though, he's visited by none other than Captain Short and her superior, Commander Root, and brought down to Haven City and into Police Plaza.  It seems the goblin triad, the B'Wa Kell, have a human counterpart aiding in their smuggling, and Artemis the Second is, quite justly I believe, suspected of being that human.

The fairies soon realize, however, that this time Artemis Fowl isn't the bad guy in this problem.  But now they'd like Artemis and Butler's help in figuring out who is behind the allaince between the goblins and the Mud Men--and Artemis is quite willing to help them out, in exchange for the fairies help in rescuing his father.

What follows is an action-packed story of good versus evil below ground, with deceptions, backstabbing, and revenge taking center stage.  As Holly, Root, Butler, and Artemis race to save Haven City from being destroyed, some of the same characters from the first book make appearances--Foaly, Mulch Diggums, Cudgeon, and Captain Trouble.  There's also a new foe in THE ARCTIC INCIDENT, Opal Koboi, to be dealt with.

I highly recommend the ARTEMIS FOWL series to anyone and everyone.  Highly enjoyable, thoroughly entertaining, and not soon forgotten."
0316880655:it_has_worked_so_far....:mel_g.,17950,0316880655,"Do What You Are : Discover the Perfect Career for You Through the Secrets of Personality Type--Revised and Updated Edition Featuring E-careers for the 21st Century: Books: Paul D. Tieger,Barbara Barron-Tieger",books,books,6 of 8,4.0,It Has Worked So Far....,"August 24, 2006",Mel G.,I for example am and ENFP,"While I am only a high school Sophmore, and I don't have a *real* job, this book has been very helpful in deciding what to shoot for doing. I've heard people call this book too vague, but they can't tell you exactly what to do; it doesn't work that way. Once you get through the personality quiz portion, the author gives a somewhat detailed description of your specific personality type (I for example am and ENFP) and throws in suggestions in the description and also give a modest list of other possibilities. I'll admit it was a bit vauger than I had hoped but it gives you plenty of room to move around and a great place to start.
   I'm lucky I found this book when I did (and not 3-4 years into college) because I found some satisfying  career options that I would not normally have chosen for myself and they are on the opposite end of the spectrum from what I was previously considering. (looking at this run-on sentence, you will be relieved to know that none of my choices are to be an English teacher)
   Overall, this was a good book. There was a lot of filler describing the different personality characteristics that I found redundant only because I have gone over this in school a couple times. However, if you are unfamiliar with this territory, the explanations will be quite helpful"
1401210821:note_for_customers_in_the_uk:imtiyaz_mulla,18408,1401210821,"The Absolute Sandman, Vol. 1: Books: Neil Gaiman,Sam Kieth,Mike Dringenberg,Charles Vess,Michael Zulli,Kelley Jones,Chris Bachalo,Malcolm Jones,Danny Vozzo,Colleen Doran",books,books,3 of 3,5.0,Note for customers in the UK,"November 3, 2006",Imtiyaz Mulla,,"Beautiful, stunning absolutely gorgeous.

A quick note to fellow Brits, this was ordered on October 22nd and arrived on November 1st and is much cheaper here than on amazon.co.uk or anywhere else in the UK!! I've ordered stuff domestically that has taken longer in the post!!"
"1400082544:really_helpful_for_a_college_student:christina_""college_girl""",20675,1400082544,Rachael Ray 365: No Repeats--A Year of Deliciously Different Dinners (A 30-Minute Meal Cookbook): Books: Rachael Ray,books,books,2 of 2,4.0,Really helpful for a college student,"October 28, 2006","Christina ""college girl""",which is good because I have a very packed schedule,"I loved this book. The food was really good and fast (which is good because I have a very packed schedule). Also great if you're on a budget. The recipes have variations so I could eat different things but not have to buy a whole new set of ingrediants.

The only reason it didn't get five stars was because some of the food was really spicy (I'm from Texas, I like spicy), to the point my boyfriend couldn't eat it. I just modified the recipes and everything was fine"
"0374146357:the_brain,_the_crane,_the_drain:illiniguy71",21993,0374146357,The Echo Maker: A Novel: Books: Richard Powers,books,books,3 of 5,4.0,"The Brain, The Crane, The Drain","October 29, 2006",Illiniguy71,Deep in the Midwest,"The NY Times Book Review linked this novel to the aftermath of 9-11, but that may have more to do with the preoccupation of New Yorkers than with the story Powers wrote. While he does refer to 9-11 early on, this book concerns environmentalism and species conservation versus wrong-headed economic development in the Great Plains at the western edge of the midwestern farming belt. It is about the struggle not to loose even more economic ground relative to the rest of America in a region that is being slowly drained of its population due to the changing scale of agricultural operations. But since it is a Richard Powers novel, it is also about much more: neuro-physiology, brain function as reflected in behavior and personality, the devotion of a 30ish sister to her less-able younger brother, her sexual relations with two very different men, and a nationally-known writer (clearly modeled on Oliver Sachs) who has a late mid-life crisis. It is about love, devotion, and doing as much of the right thing as one can do. It involves escape and return.
Clearly, Powers should not be considered a regional writer. His books have been set entirely or partly in Brooklyn, Manhattan, Philadelphia, L. A., the Pacific Northwest, and the continent of Europe. But several books by Powers are set in the Midwest where he is based. Readers who know something of the areas in which those stories are set will gain an extra measure of appreciation for  the skillful way Powers incorporates subtle regional characteristics into these novels.
As others have said, this is probably not the best novel this writer has given us, although it is quite carefully plotted, and full of the marvelous insights we have come to expect from him. I prefer The Goldbug Variations, Three Farmers on Their Way to a Dance, and, despite my own musical illiteracy, In the Time of Our Singing. But even when Powers is not quite at his best, he writes a better book than most novelists ever manage ever to produce. Read, enjoy, learn"
1558001131:i'm_impressed:david_p._caldwell,25913,1558001131,"A Brief History of Time: Books: Stephen W. Hawking,Michael Jackson",books,books,6 of 6,4.0,I'm impressed,"September 25, 2006",David P. Caldwell,"Cleveland Heights, Ohio, USA","I must say my first reaction was to be surprised at how much better Hawking is at explaining modern physics than my college instructors were.  Heisenberg's uncertainty principle was just an equation I learned.  Hawking made it seem like common sense.

Hawking tries a little too hard to be witty at times (and punctuates all of his jokes with exclamation points! just in case you missed them!), but all-in-all, this was a quite readable account of what's presently known about cosmology.  I use the term ""presently"" guardedly, as just recently there was some big finding about dark matter (it exists!), but from now on, when there are new findings in physics, I want Hawking to explain them to me, because I feel like then I might understand them.  That's why you should read this book.

The reason you should not read this book is because you have no interest in wrestling with abstractions with which you will never interact in daily life, and would rather read about global warming or Darfur or something a bit more topical and practical.  This was still a hard read, and I feel like I grasped maybe 80% of it.  For you to decide, but for a former engineering student, this was something I wish I had read when I was taking physics"
1411608313:bring_on_volume_two!:patrick_carlin,26258,1411608313,"Day by Day Armageddon: Books: J., L. Bourne",books,books,,4.0,Bring on volume two!,"November 2, 2006",Patrick Carlin,"Fort Myers, FL United States",The journal format is a unique take on the genre and I especially like the detailed attention given to gear and survival.  The author obviously knows his stuff.  What's also impressive is that this novel is self published.  I'm surprised someone hasn't taken notice and offered J.L. Bourne a deal.  He's good
"0446313645:hst_travels_to_the_""belly_of_the_beast""_of_the_american_electoral_process:keith_irvin",26654,0446313645,Fear and Loathing: On the Campaign Trail: Books: Hunter S. Thompson,books,books,3 of 3,4.0,"HST travels to the ""Belly of the Beast"" of the American electoral process","August 19, 2005",Keith Irvin,,"College stoner cult following aside, Hunter S. Thompson's journalistic prowess was a vital national resource up until he left us last February.  Thompson was one of those brave few who dared to cut through popular media perceptions and glittery rhetoric and travel right to the ugly center of his subject material, counjouring hilarious allegories where the average journalist would already have soiled himself in disillusionment.

On the Campaign Trail should be required reading for all those who hold a less skeptical view of American politics than say, the average WWE heavyweight title match, for a truly sane person should be no more shocked to hear of a politician lying or cheating to increase his presidential hopes than when The Undertaker strikes his opponent with a steel chair when the referee turns his back.  Hunter has long since traveled through this looking glass -- although he can at times be found expressing nostalagia for the wide-eyed optimism of the 60s -- but the result is not nearly as depressing as it is hilarious.  The image of Thompson infiltrating the Nixon Youth at the RNC and yelling obscenities and death threats at rival journalist John Chancellor's press box while surrounded by hundreds of kids chanting ""Four more years!"" was one of the funniest any book has offered me in a while.

How does the cliche go -- ""The more things change, the more they stay the same""?  After the thorough spanking of George McGovern at the hands of Richard Nixon, HST credits the most staggering blow to McGovern's presidential hopes to a media crisis involving his vice-presidential nominee, Thomas Eagleton.  Just days after Eagleton was named as McGovern's running mate, two Democratic campaign managers received phone calls revealing that Eagleton had gone through intensive psychiatric treatment on three separate occasions.  As the story spread like wildfire throughout the press, McGovern's presidential hopes were dealt a blow from which they would never recover.  Since then, we've seen Willie Horton and the Swift Boat Veterans come out to haunt their respective candidates, and one is inclined to wonder who the Democratic ""mascot"" will be for the 2008 race.  Perhaps a mentally disabled child whose tricycle was crushed by the car of Hillary Clinton?  A Dominican prostitute who gave Joe Biden the clap?

But I digress.  I give On the Campaign Trail 4 out of 5 stars because the book, like presidential campaigns themselves, can at times seem uneventful.  Thompson addresses this from time to time, wondering aloud what it was that made him want to cover politics in the first place before remembering that the rush one feels from being a part of a winning political team is nearly identical to that of a junkie getting that long-needed fix.  Other parts of the book will only make sense to the more hardcore followers of politics.  For instance, HST's extensive interview with campaign manager Rick Stearns, where Stearns explains the intricacies of acquiring state delegates, reads like hieroglyphics to me."
0787951935:change_the_world_by_changing_yourself:david_de_long,27613,0787951935,Change the World : How Ordinary People Can Achieve Extraordinary Results: Books: Robert E. Quinn,books,books,1 of 1,5.0,Change the World by Changing Yourself,"May 25, 2005",David De Long,,"Bob Quinn is definitely one of the most profound writers on change in this era. But his work is not for the faint of heart because he challenges each of us to start change initiatives in the place we'd least like to go -- inside ourselves. I found this an incredibly powerful book. I've used sections of it with my ""change management"" classes for several years and I know it has a tremendous impact on students, who like most managers have grown up unconsciously believing that change always needs to start with the other guy. If you want a simple formula for change, don't buy this book. Although it is full of practical, actionable ideas, ""Change the World"" addresses change at a profound level that asks readers to reflect seriously on what they stand for. It's a very difficult but rewarding assignment"
"0517219018:5.0_stars_and_worth_it!:jason_""rubicon""",28233,0517219018,The Stand (Modern Classics): Books: Stephen King,books,books,,5.0,5.0 stars and worth it!,"November 10, 2006","Jason ""Rubicon""",California,This is the BEST book written by Stephen King!  I've read it twice and will probably read it about ten more times before I die
0394482131:infection:h._thompson,29577,0394482131,Suttree: Books: Cormac McCarthy,books,books,5 of 5,5.0,Infection,"September 1, 2005",H. Thompson,Sanaa. Yemen,"I in 1996 I bought and read All the Pretty Horses first. Laughed myself off the train seat in to town.  Bought the whole lot and read them in chronological order - re-reading Pretty Horses on the way.  Along with scenes from the Orchard Keeper, Sutree sticks in my mind - images ideas, flavours, jokes, and a personality that I'd rather see more of.  Sutree made me feel that I know this man, and could even like him.  Great fun, and deserves selfish time to read and unwind after reading."
0312095511:_good_old-fashioned_fairy_tale:margaret_tassey,31995,0312095511,The Bridge of Birds: A Novel of an Ancient China That Never Was: Books: Barry Hughart,books,books,1 of 5,4.0,Good old-fashioned fairy tale,"February 27, 2006",Margaret Tassey,A beach in Florida,"I'm way over the age of 13, but I just loved this book.  Interesting story and characters that I enjoyed spending time with"
1596008709:narrator_needs_to_bone_up_on_her_baltimore_pronunciation...:cymple,32738,1596008709,"Blue Smoke: Books: Nora Roberts,Joyce Bean",books,books,0 of 2,4.0,Narrator needs to bone up on her Baltimore pronunciation...,"September 23, 2006",Cymple,MD United States,"Great story!!  Excellent in fact.  My beef is with the narrator and editor:

As someone who grew up in the Baltimore area, I thoroughly enjoyed the local references.  However, it is frustrating to hear the narrator mispronounce Baltimore icons, like Boog's BBQ at Camden Yards.  For the record, it is NOT pronounced Bow-g!  It is Boo-g... Do better research!!"
"0465016901:the_gifted_child:mark_twain_""mark_twain""",34624,0465016901,The Drama of the Gifted Child: The Search for the True Self: Books: Alice Miller,books,books,18 of 25,5.0,The Gifted Child,"September 23, 2005","Mark Twain ""Mark Twain""",WI,"This book is NOT about ALL people. It is about gifted (in this case that means sensitive) children that are misused to feed their parents narcissism. Most children are not that sensitive and hence not suseptible to that specific abuse.

It is possible to be gifted and not be sensitive, but those traits do trend together.

I agree that reading this book is an emotional experience for those former children, but that is a necessary part of the healing process.

This book pioneered the idea examine this from the child's perspective, and any subsequent critics need to consider this.

I heartily recommend this book for those that have been affected, and the others should give their copy to the library, grateful not to have needed it"
"0688137954:you_really_couldn't_ask_for_a_better_analysis_of_gsp.:bane's_errant_nephew_(starscream44@hotmail.com)_""ss44""",37290,0688137954,"Patton: The Man Behind the Legend, 1885-1945: Books: Martin Blumenson",books,books,8 of 8,5.0,You really couldn't ask for a better analysis of GSP.,"January 27, 1999","Bane's Errant Nephew (starscream44@hotmail.com) ""ss44""",starscream44@hotmail.com,"This is an extraordinary biography for, while Blumenson's admiration for George Patton is evident, it brilliantly illustrates all the sides of Patton's personality - both positive and negative. The book truly goes  beyond the popular perception of the General -and far beyond the movie- in  exploring his character and motivations. Not an overly long book, but  thorough, detailed, and very enjoyable to read"
067960149X:a_comprehensive_historical_work:jason_crook,38575,067960149X,"The Decline and Fall of the Roman Empire, Volume 2 (Modern Library): Books: Edward Gibbon,Gian Battista Piranesi",books,books,3 of 3,5.0,A Comprehensive Historical Work,"August 4, 2006",Jason Crook,,"Gibbon's ""Decline and Fall"" is without a doubt one of the most well-written and truly comprehensive historical works concerning the Roman Empire.  From the military maneuvers of the northern legions to the intrigues of the Imperial Court, Gibbon showcases the history of Rome as it unfolded--often relying on the eyewitness testimony of contemporary writers to give readers a sense of the passions and policies of the time.  There are a few minute problems--or rather gaps--in Gibbon's work, but given that he originally published in the late 1700's we can excuse his lack of complete information.  Overall, an excellent read and a great history of such an important subject"
0446392308:it_works!:j._a_baird,39453,0446392308,Healing Back Pain: The Mind-Body Connection: Books: John E. Sarno,books,books,,5.0,It Works!,"August 23, 2006",J. A Baird,,"I have probably close to a dozen or more people I know, including myself, that have read this and had great results removing all sorts of chronic symptoms."
"0743261550:the_reason_this_book_is_a_best_seller_is............:don_hoagland_""financially_free""",40145,0743261550,Nothing Down for the 2000s: Dynamic New Wealth Strategies in Real Estate: Books: Robert G. Allen,books,books,18 of 21,5.0,The reason this book is a best seller is............,"May 1, 2005","Don Hoagland ""financially free""","Fern Park, Fl","Because the ideas and strategies really work! Robert Allen gives more concrete information, real meat if you will in one chapter than these other so called financial authors do in an entire book.

I used the ideas from Robert Allen to buy my first home, nothing down 5 years ago and the value of my home has escalated BUT...the return on my investment on a nothing down deal is infinite!

Hey...if you don't like Robert Allen, you can always read Jane Bryant Quinn and lose money with her advice. I was talking to a guy the other day in a book store who said he lost over 75% of his 401 (k) money following Quinn's ""safe"" advice.

OR...you can read those tabloid websites which are around only to attract the naive and also are out to sell you their generic junk most of which is plagerized Robert Allen ideas"
1859842534:how_public_policies_can_destroy_communities:gina_arias,41123,1859842534,"A Plague on Your Houses: How New York Was Burned Down and National Public Health Crumbled (Haymarket S.): Books: Deborah Wallace,Rodrick Wallace",books,books,4 of 4,5.0,How public policies can destroy communities,"April 18, 2000",Gina Arias,"New York, NY United States",This book gives a thorough analysis on how public policies were the catalysts for the socioeconomic destruction of low-income communities of color in New York City. Necessary reading for those who still do not  realize that activism and organizing are important vehicles through which  marginalized communities keep in check the forces that seek to further  fragment and disenfranchise them
0743453964:couldn't_put_it_down.:t._blankenbaker,41618,0743453964,Executive Power: Books: Vince Flynn,books,books,1 of 1,5.0,Couldn't put it down.,"March 23, 2006",T. Blankenbaker,"Louisville, KY","Patriotic terrorist fighting storyline.  Exposes the political games played in Washington, that many times put our military in dangerous situations.  This book inspires me to patriotism and also deep gratitude to the Special Forces men who are so brave.  I know the book is fiction, but I can't help but feel that it is more truth than fiction.  Mitch Rapp's wife Anna is getting a little hard to stomach.  She is a good example of how an aggressive woman can nearly neuter a strong man. Again, hard to recommend to absolutely everyone because of the explicit sexual situations.  I hate to encourage my teenage boys to read it, although 95% is absolutely wonderful and inspiring, portraying men as REAL MEN."
"0684846349:thanks_for_scientific_support!:cline_clark_""cline_clark""",42049,0684846349,Molecules Of Emotion: The Science Behind Mind-Body Medicine: Books: Candace B. Pert,books,books,2 of 6,5.0,Thanks for scientific support!,"July 2, 2006","Cline Clark ""Cline Clark""","Glendale, CA USA","Since 1965 I've taught this ""truth"" based upon metaphysical studies.  Now, at last, there is scientific evidence supporting the fact that EMOTIONS CREATE FACTS"
